AI&DS Y23 Course Structure,,,,,,,,,,,,
,,,,,,,,,,,,
Academic Year_2023-24::ODD SEM( I Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,ESC,3,,,
,67,SDC,23SDCS06A,CERTIFIED GAME DEVELOPER,4,,,,,,,
,68,PEC,23DLA3304A,MULTI AGENT SYSTEMS,7,,,,,,,
,69,,23SDCI06A,PROFESSIONAL SCRUM MASTER,,,,,,,,
,70,PEC,23SMD3202A,DESIGN PATTERNS AND CLEAN CODING TECHNIQUES,5,,,,,,,
,71,PEC,23CID3202A,"ENTERPRISE CLOUD COMPUTING: TECHNOLOGY, ARCHITECTURE, APPLICATIONS",5,,,,,,,
,72,PEC,23CID3304A,CLOUD INFRASTRUCTURE ARCHITECTURE AND ENGINEERING,7,,,,,,,
,73,SDC,23SDCS16A,CLOUD INFRASTRUCTURE DESIGN,4,,,,,,,
,74,BSC,23CY1003,COMPUTATIONAL CHEMISTRY,4,,,,,,,
,75,,23IE04RF,TERM PAPER,,,,,,,,
,76,,23UC0035,GLOBAL LOGIC BUILDING CONTEST PRACTICUM,,,,,,,,
,77,HAS,23UC0026,"HUMAN VALUES, GENDER EQUALITY AND PROFESSIONAL ETHICS ",2,,,,,,,
,78,HFC,23CS03HF,ADVANCED ALGORITHMS AND DATA STRUCTURES,4,,,,,,,
,79,PEC,23SMD3303A,CONTINUOUS DELIVERY AND DEVOPS ,7,,,,,,,
,80,OEC,23OEGN03,NATIONAL CADET CORPS (NCC)-3,4,,,,,,,
,81,SDC,23SDAD06A,ANALYSIS OF DIGITAL MARKETING,4,,,,,,,
,82,,23CS06EF,MERN STACK WEB DEVELOPMENT,,,,,,,,
,83,PEC,23BEW3202A,SMART CONTRACTS,5,,,,,,,
,84,PEC,23BEW3303A,DECENTRALIZED APPLICATIONS  AND DECENTRALIZED WEB,7,,,,,,,
,85,SDC,23SDAD08A,EMERGING BLOCKCHAIN MODELS FOR DIGITAL CURRENCIES,4,,,,,,,
,86,HIC,23DT04IF,CUSTOMER CREATION AND MARKETING FOR ENTREPRENEURS,4,,,,,,,
,87,PEC,23DLA3202A,AUTOMATED NETWORK ANALYSIS,5,,,,,,,
,88,,23CS05EF,"PYTHON FULL STACK DEVELOPMENT WITH DJANGO	",,,,,,,,
,89,PEC,23DLA3202R,AUTOMATED NETWORK ANALYSIS,3,,,,,,,
,90,HAS,23MB0002,PARADIGMS IN MANAGEMENT THOUGHT,4,,,,,,,
,91,OEC,23OEGN02,NATIONAL CADET CORPS (NCC)-2,4,,,,,,,
,92,PEC,23CNE3202A,CLOUD NATIVE APPLICATION DEVELOPMENT,5,,,,,,,
,93,PEC,23CNE3304A,SOFTWARE ENGINEERING FOR CLOUD COMPUTING,7,,,,,,,
,94,SDC,23SDCS15A,SOFTWARE DESIGN WITH CLOUD NATIVE COMPUTING,4,,,,,,,
,95,,23MRBN01M,INTRODUCTION TO BUSINESS ANALYTICS,,,,,,,,
,96,,23SDCI06R,PROFESSIONAL SCRUM MASTER,,,,,,,,
,97,HAS,23FL3055,GERMAN LANGUAGE,3,,,,,,,
,98,,23BT2206,MOLECULAR BIOLOGY,,,,,,,,
,99,,23BT2239R,COMPUTATIONAL BIOLOGY,,,,,,,,
